label,text
0,"waking up ... the fig is really bad this morning , ca n't see out of the window . back at the new shop today . only 3 days until london"
0,wishing ppl didnt feel the need to fill you u on what u did during a night of heavy drinking .... not nice
0,and why the hell did n't my picture show up yet ?
1,finished watching the movie across the universe
0,"btw @ , i really want to spend my afternoon on you but i 'm at work . damn these drivers ! will tweet when i can"
0,wants to go to bed and read
1,http : ; thank you sooo much ! !
1,off for conference call with @ - then i can get round to actually doing some work ! ; - ) good mood because it 's a bank holiday !
1,got out early .... yay 10 days ! ! !
0,i tripped on the external hard drive cord and it fell on the floor and now the casing wo n't pop back into place .
1,"mornin ' , fan day today ? i need some fun after a week !"
1,she was so cute that i let her to make that web hahaha but then i had to stand up .. i felt so bad
1,finished cleaning my room yay
1,wif the big big big happy family for mommy 's day meal . and happy mommy day to all mommys out there !
0,studying my ass off for exams
1,just received 2 from for giveaway at the fest : soprano and a new travel uke tenor
1,"@ of course , i need something to show and agent . that 's where me + the novel = fail ."
1,finally home ! currently restoring my phone
1,"happy its the weekend , but sad coz its gon na be a shit one"
0,ewwww watching a baby being born on tv gross
0,ugh someone save me ... i hate working here
1,good luck yg mau exam siang ini .
1,on skype with kelsey basically rolling on the floor laughing ( rofl )
0,"my husband helps her out with his truck while i am looking after the kids . im so sad about her to leave , i could cry ."
1,at the . getting ready for drink 1
1,"control which tweets u post on facebook by using a hashtag , check out this awesome easy app ! http :"
1,starting my morning off with some beautiful music ! ! thank you jesus for another lovely day ! !
1,just gave a whole lot of $ $ $ ( via @ ) & lt ; & lt ; & lt ; i 'm glad my money giving days are over ..
1,i think a second trip to ikea in a week is needed
0,waiting for curry to cook in my new oven in my even cooler apartment ... . i miss my old house
1,@ @ thanks for the ff i think i should start doing these too
1,"had a wonderful night at the , and is going to another one thursday in the springs"
0,my arms feel like they 're going to fall off .
1,i have to go ! i 'll be doing some of my homeworks .. .. see yah twitterworld ! ! !
1,great day aside from the car wreck ! !
1,@ i wish i could come
1,just spent of someone elses money .
0,"sad ... the more i go out to 2nd ave on happy hour , the more i realize that downtown is losing and gaining shadows"
0,damn it damn it damn it
0,dealing with a pretty brutal headache . gooo no fun ...
1,http : - bought a white wedding dress for $ 20 . eat your heart out queen serenity . had to look that up . yes . i did .
1,@ i 'm hoping to watch er this weekend out tomorrow night so prob sun so no one can see my red
0,@ surgerequena umm no more jokes ? ?
1,lost my match lol now gunna be in a
1,its going to be perfect says he .
1,@ : pure gold ( )
0,"still do n't know what i 'm gon na wear tonight , drama ! i wish i had my bestie here with me but she 's ill"
1,2nite ! ! ! ! ! gettin in the spirit .. im painting my nails purple & amp ; gold 2day !
0,@ your lucky and yes its quite sad but some people just get used to living like that
0,"my hair looks horrible , i look like a man"
1,found a dog then the owner came and picked him up ca n't wait till tomorrow ! ! !
0,"ok , gon na read more before work at 2. blah blah blah tuesdays ."
0,"@ patsytravers aww , i was n't watching it . aww"
1,"ooh , over ' is up . trilogy here i come"
1,time to get ready for bed . brb from the laptop .
0,math exame tomorrow .... i 'm soo worry
0,its windy . & amp ; my hair is 2 my lipgloss ! ughh
1,just had a fun random night
0,"wow , the weather can change so much in so little time ,"
0,deal ? a bf who can cook . because i ca n't .
1,"good morning ! woken up by my mum , she asked me if i wanted to follow her and dad to a place in sweden & quot ; & quot ; to by a tv .."
0,i woke up too early . i ca n't fall asleep . blah .
0,"just made it home , had to take my puppy to the * after hours emergency clinic . she is and really sick ."
1,have to say i love she does n't let them away with anything .
0,sitting on the boat waiting for the day to end . too bad it 's just started
1,has just picked up his new glasses
1,off to journey ne i love these days . { 1 day ... it . }
1,just booked my flight to vegas ! ! poolside boys and high rollers rooms here i come
0,back to work
0,"no , new south wales does n't have a ' h ' in it ( whales . ) nz office fail"
0,took test got 85 should of done better no going to try to bed hope i feel better soon
1,yay ! just realized i 'm not driving this trip and can do all the twittering !
0,my socks stink
0,i miss my meow
0,"been skating , no injuries . has been raining all day ."
1,on the phone with @ then sleep
0,dad wants to take our dog to the pound !
1,i need a delicious tag that just says & quot ; & quot ; except i would wind up using it on everything .
0,everyones at bamboozle why am i not at bamboozle im so sad
0,feelin a bit ' . off to watch tha vids http :
1,sims 3 omg virtual notice
1,i think that it 's about time for bed . goodnight !
0,going to a carwash all morning . gon na be so sore after
0,why do i always eat when near period ?
1,i miss my friends they are the best people ever
1,goodnight world
1,i love you too .
1,i hope my mom can still have a happy mother 's day .
1,since i am tech challenged sometimes this tweet is just a test . sorry for the let down in ack of info .
1,at least i have lunch for tomorrow now ! and it 's not soup ! !
1,elite hopes you are having a great day
0,baltimore waste management did n't pick up my paper ... now it 's wet from rain maybe i 'll mash it into a and myself
0,i dont really know who my real friends are sigh
1,got my first customer feedback today . they like my stuff !
1,"so much love - the rocket summer . listen to it , it will make your heart smile"
1,am glad there are cookies ! ! for me to munch after everything . but snacking ? bad .
1,is gon na go for a swim ! thank you fl weather who wants to come along ?
0,: its too hot to sleep in sf http :
1,p.s . i get to see @ in 2 days ! ! !
0,told mama abt him . and all tht ever came out frm their mouth was negative . - http : //tweet.sg
1,i wish he was here !
0,"ah i have the day off from regents tommorow , failed my math one today"
0,leaving oahu 's north shore and headed to honolulu airport . not ready to leave !
1,chick-fil-a
0,denver is not locked in
0,child 's final wish before she died of cancer was to see the movie & quot ; up & quot ; soooooo sad ! !
1,pot chicken and !
0,@ peterfacinelli sorry you had such a bad day
0,"has tried and tried to put my picture on here , but nothing is a small enough file"
0,added one more assignment into course text .
1,@ oh . well then ... you are just gon na like it
1,honestly calm for the first time in years .... feels amazing
1,wonders if you find memories come back to you more in certain places ? http : http :
0,going home soon ... could n't see my baby girl this weekend
0,kate nash deep mother conversations . i an 12 minutes late for work bc mom was slow .
0,playing left 4 dead by myself ... i wish i had the ability to play online .
0,twitter 's bad .... very bad for you . leaving now .
0,"work is so busy , and i still have 2 more hours"
1,enjoyin my day off but wish i could have slept in i wanted to keep snuggling with my love but his work took him ... love you booger
0,its the end of an era ... a thompson era . so sad
0,"@ i hear a big one is going to hit us . like , a 10 point something i 'd rather be at the park when it happens lol"
1,"'cause i still love you , this i must confess . ' 8"
0,@ hahahaha ummm let 's see ..... i ca n't think of one
1,oo im going to miss all the cute kids next year at least ill be back sometimes ..
0,"working . try not to get too worked up about it , i 'm not"
1,"i 'm about to go shopping for outdoor clothing with the sibling , ... well , when i eventually roll out of bed that is"
1,"dam .. time flies when ur havin fun .. july 25 & amp ; aug 1 lower sac , .. haha myspace music .. back 2 work"
1,i miss you @ . should meet up as soon as i get the chance to go back to sg .
1,"i do n't make it up , i just share it !"
1,"going to study , just a little bit 5 pages i 'll read 2night"
1,summer feeling & lt ; 3
0,i do n't want to go to work tomorrow
1,just got home . was flying in the sky but not anymore .
1,i in my ohhhh
0,hearing really bad things about transformers 2 when can we go and be disappointed ?
1,it 's nice to have the odd sunny day .
0,really wishin i was in cali . 1 . for taco shop is san diego ( yum ! ) and 2 . for the show is la . ( sighh )
1,@ perhaps we need em more often ! lol
1,wants some celeb 's to follow her back x
0,not looking good for the karate test .
0,"wanting to sleep , but so much going on it is keeping me awake"
1,"started doin mini power saving system - & gt ; it 's all about of lights , fans & amp ; windows in a room"
1,sitting in the sun ... drinking coffee
0,is thinking i just screwed up a friendship
1,oh well at least that explains why they havent been responding to me bout that logo i made them
1,no me dejan scene it .
0,fml pens are getting raped i blame the mexican we are eating .
1,"us history sat ii today , wish me luck"
0,crazy bitch wants to experiment on me now . lol
0,hates this sore throat .
0,i have such a bad migraine
0,fedex messed up my iphone delivery . i am not happy .
0,upset at @ evernote app broken on my bb . error accessing site hate apps on bb
1,in the sushi i cant open the msn or another chat
1,just finished my sophomore year of highschool today . i can only wish that my last two years are phenomenal . i you all !
0,gahhhh . they did n't pick up . i just wan na get this over with !
1,tried the tiger strips with hot pink http :
1,"i luv boys who really love me , i luv friends who really care about me but first of all i luv me !"
0,at my grandparents house . i ca n't get on facebook
1,went grocery shopping after dinner . still need to do some house cleaning . took a break earlier to play in pools w/my son .
0,gahhh .. im trying to change my on here and its not working
1,@ it was great thanks !
1,nothing like praise from the boss
